Time;Weather data, Rain
08-27-2018 10:00:15;-1
08-28-2018 09:29:04;0
08-28-2018 09:45:31;-1
08-28-2018 09:50:31;0
08-28-2018 09:50:31;-1
08-28-2018 09:50:45;0
08-28-2018 09:50:46;-1
08-28-2018 09:50:47;0
08-28-2018 09:50:58;-1
08-28-2018 10:01:08;0
08-28-2018 10:19:44;-1
08-28-2018 10:47:27;0
08-30-2018 06:59:54;-1
08-30-2018 07:10:08;0
08-31-2018 01:22:12;-1
08-31-2018 01:35:19;0
09-06-2018 16:17:49;-1
09-06-2018 19:10:37;0
09-06-2018 19:17:00;-1
09-06-2018 19:41:06;0
09-07-2018 12:59:56;-1
09-07-2018 13:18:37;0
09-08-2018 02:45:54;-1
09-08-2018 03:00:41;0
09-08-2018 03:10:16;-1
09-08-2018 03:20:37;0
09-10-2018 12:08:18;-1
09-10-2018 12:18:22;0
09-10-2018 12:39:02;-1
09-10-2018 13:37:38;0
09-10-2018 13:39:56;-1
09-11-2018 05:47:18;0
09-11-2018 06:05:42;-1
09-11-2018 06:24:39;0
09-12-2018 02:49:54;-1
09-12-2018 03:16:56;0
09-12-2018 03:21:05;-1
09-12-2018 03:45:22;0
09-12-2018 05:26:48;-1
09-12-2018 05:38:57;0
09-12-2018 06:08:42;-1
09-12-2018 06:38:12;0
09-12-2018 11:08:57;-1
09-12-2018 12:02:15;0
09-12-2018 13:24:31;-1
09-12-2018 16:02:04;0
09-12-2018 21:57:39;-1
09-12-2018 22:23:06;0
09-13-2018 01:54:45;-1
09-13-2018 06:03:25;0
09-18-2018 00:15:45;-1
09-18-2018 00:26:20;0
09-18-2018 00:52:46;-1
09-18-2018 01:53:38;0
09-18-2018 02:00:18;-1
09-18-2018 02:13:48;0
09-18-2018 02:27:04;-1
09-18-2018 03:33:40;0
09-18-2018 03:41:53;-1
09-18-2018 05:57:49;0
09-18-2018 06:56:17;-1
09-18-2018 07:21:00;0
09-18-2018 13:56:15;0
09-18-2018 14:00:09;-1
09-18-2018 14:21:33;0
09-18-2018 14:32:23;-1
09-18-2018 15:11:20;-1
09-18-2018 15:25:58;0
09-18-2018 15:37:21;0
09-18-2018 15:42:12;-1
09-18-2018 17:03:38;0
09-18-2018 17:16:25;-1
09-18-2018 17:47:02;0
09-18-2018 18:00:20;-1
09-22-2018 03:45:06;0
09-22-2018 07:53:41;-1
09-25-2018 08:38:50;-1
09-25-2018 13:44:54;0
09-25-2018 14:12:02;-1
09-25-2018 19:42:56;0
09-25-2018 19:45:36;-1
09-25-2018 19:56:49;0
09-25-2018 20:02:35;-1
09-25-2018 20:17:11;0
09-25-2018 20:27:22;-1
09-26-2018 00:08:19;0
09-26-2018 22:08:05;-1
09-26-2018 22:21:54;0
09-26-2018 23:05:15;-1
09-27-2018 00:12:44;0
09-27-2018 00:19:41;-1
09-27-2018 00:46:35;0
09-27-2018 00:52:36;-1
09-27-2018 01:26:04;0
09-27-2018 01:56:24;-1
09-27-2018 07:21:14;0
09-28-2018 05:33:20;-1
09-28-2018 05:47:17;0
09-28-2018 05:58:13;-1
09-28-2018 06:14:41;0
09-28-2018 06:18:02;-1
09-28-2018 06:30:34;0
09-28-2018 06:38:40;-1
09-28-2018 10:28:06;0
09-28-2018 10:48:08;-1
09-28-2018 12:37:57;0
09-28-2018 14:17:58;0
09-28-2018 15:05:19;-1
09-28-2018 15:11:26;-1
09-28-2018 15:27:01;0
10-17-2018 16:54:11;-1
10-17-2018 17:04:30;0
10-17-2018 22:20:50;-1
10-17-2018 22:38:35;0
10-18-2018 01:38:18;-1
10-18-2018 07:06:41;0
10-22-2018 15:18:28;-1
10-22-2018 15:19:45;0
10-23-2018 13:53:24;-1
10-23-2018 14:54:00;0
10-23-2018 15:11:34;-1
10-23-2018 15:31:57;0
10-23-2018 15:45:43;-1
10-23-2018 15:57:09;0
10-23-2018 16:07:31;-1
10-23-2018 17:04:17;0
10-23-2018 18:34:40;-1
10-23-2018 19:07:53;0
10-24-2018 01:07:53;-1
10-24-2018 01:21:06;0
10-24-2018 09:46:36;-1
10-24-2018 10:00:12;0
10-24-2018 10:20:04;-1
10-24-2018 10:39:28;0
10-24-2018 11:10:31;-1
10-24-2018 11:45:07;0
10-24-2018 11:56:36;-1
10-24-2018 12:13:07;0
10-24-2018 17:47:33;-1
10-24-2018 18:46:55;0
10-24-2018 19:07:36;-1
10-24-2018 19:22:19;0
10-24-2018 20:56:57;-1
10-24-2018 21:18:44;0
10-27-2018 06:33:06;-1
10-27-2018 22:56:52;0
10-27-2018 23:47:11;-1
10-28-2018 01:11:05;0
10-28-2018 01:21:59;-1
10-28-2018 03:51:45;0
10-28-2018 04:01:08;-1
10-28-2018 04:21:01;0
10-28-2018 04:39:45;-1
10-28-2018 06:41:03;0
10-28-2018 06:55:24;-1
10-28-2018 07:23:52;0
10-28-2018 07:41:56;0
10-28-2018 07:43:09;-1
10-28-2018 07:49:00;-1
10-28-2018 08:36:32;0
10-29-2018 03:51:40;-1
10-29-2018 04:16:02;0
10-29-2018 04:33:20;-1
10-29-2018 04:48:00;0
10-29-2018 05:08:45;-1
10-29-2018 06:11:01;0
10-29-2018 08:07:02;-1
10-29-2018 13:30:03;-1
10-29-2018 13:50:23;0
10-29-2018 14:02:02;-1
10-29-2018 14:22:52;0
10-29-2018 15:04:01;-1
10-29-2018 15:15:20;0
10-29-2018 15:32:53;0
11-01-2018 08:40:25;-1
11-01-2018 09:09:27;0
11-02-2018 05:43:39;0
11-02-2018 08:21:42;-1
11-02-2018 08:33:12;0
11-02-2018 08:59:51;-1
11-02-2018 11:37:28;0
11-02-2018 16:27:02;-1
11-02-2018 17:34:37;-1
11-02-2018 17:56:06;0
11-02-2018 23:18:40;-1
11-03-2018 00:43:15;0
11-03-2018 00:44:33;-1
11-03-2018 00:54:37;0
11-03-2018 01:05:32;-1
11-03-2018 01:19:02;0
11-03-2018 01:30:29;-1
11-03-2018 03:20:46;0
11-03-2018 03:23:52;-1
11-03-2018 07:01:08;0
11-03-2018 07:25:35;-1
