Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Temperature set point
11-09-2018 10:35:16;71.2889598846436
11-09-2018 10:40:16;71.0700813293457
11-09-2018 11:05:17;71.1795188903809
11-09-2018 11:20:18;71.03551902771
11-09-2018 11:25:18;70.6553611755371
11-09-2018 11:30:18;70.3500785827637
11-09-2018 12:05:19;70.4940784454346
11-09-2018 12:35:20;70.6035194396973
11-09-2018 12:50:20;70.6956809997559
11-09-2018 13:10:21;70.8396808624268
11-09-2018 13:35:22;70.9664012908936
11-09-2018 13:55:22;71.0700813293457
11-09-2018 14:04:49;69.8
11-30-2018 11:31:56;68.9
11-30-2018 15:11:09;73.4
11-30-2018 15:11:53;69.8
11-30-2018 15:32:23;73.4
11-30-2018 17:42:26;71.6
11-30-2018 17:42:31;69.8
12-02-2018 08:03:20;71.6
12-03-2018 01:03:41;69.8
12-03-2018 15:35:17;71.6
12-03-2018 15:35:21;69.8
12-03-2018 20:35:01;32
12-03-2018 20:35:05;71.6
12-03-2018 20:35:10;69.8
12-03-2018 21:12:00;66.560001373291
12-03-2018 21:12:29;66.3800006866455
12-03-2018 21:17:19;68
12-06-2018 12:17:33;71.6
12-06-2018 12:18:01;69.8
12-13-2018 23:06:23;32
12-13-2018 23:06:27;71.6
12-13-2018 23:06:35;69.8
12-20-2018 16:02:12;71.6
12-22-2018 00:03:01;69.8
12-28-2018 06:16:44;71.6
12-28-2018 19:16:42;69.8
01-07-2019 22:39:43;32
01-07-2019 22:39:52;71.6
01-07-2019 22:39:54;69.8
01-07-2019 22:39:56;71.6
01-07-2019 22:39:59;69.8
01-11-2019 03:53:40;32
01-11-2019 08:54:06;69.8
01-11-2019 08:54:11;71.6
01-11-2019 08:54:16;69.8
01-20-2019 15:15:18;71.6
01-21-2019 23:16:01;69.8
01-23-2019 17:15:06;71.6
01-23-2019 19:08:49;69.8
01-23-2019 19:08:52;71.6
01-23-2019 19:08:56;69.8
01-24-2019 07:15:04;69.8
01-25-2019 06:02:04;71.6
01-25-2019 07:14:59;72.942440032959
01-25-2019 08:14:59;72.8895202636719
01-25-2019 09:14:59;72.9550399780273
01-25-2019 11:14:59;72.8920402526855
01-25-2019 11:14:59;73.0633995056152
01-25-2019 12:14:59;73.118839263916
01-25-2019 13:14:59;73.1818389892578
01-25-2019 14:14:59;73.2448387145996
01-25-2019 15:14:59;73.3002784729004
01-25-2019 15:14:59;73.0079597473145
01-25-2019 17:14:57;73.27255859375
01-25-2019 18:14:57;73.295238494873
01-25-2019 19:14:57;73.3179183959961
01-25-2019 20:14:57;73.3229583740234
01-25-2019 21:14:57;73.3279983520508
01-25-2019 21:14:57;73.3481582641602
01-25-2019 21:59:31;73.3481582641602
01-25-2019 21:59:35;69.8
01-25-2019 21:59:39;71.6
01-25-2019 21:59:43;73.3481582641602
01-25-2019 22:14:57;73.3355583190918
01-26-2019 01:14:57;73.3305183410644
01-26-2019 03:14:57;73.3027984619141
01-26-2019 04:14:55;73.2775985717773
01-26-2019 05:14:57;73.2599586486816
01-26-2019 06:14:55;73.2549186706543
01-26-2019 07:14:55;73.2347587585449
01-26-2019 07:14:57;73.3254783630371
01-26-2019 08:14:55;73.1238792419434
01-26-2019 09:14:55;73.1087593078613
01-26-2019 11:14:55;73.0507995605469
01-26-2019 12:14:55;73.0230796813965
01-26-2019 13:14:55;72.9928398132324
01-26-2019 14:14:55;72.957559967041
01-26-2019 15:14:55;73.0835594177246
01-26-2019 15:14:55;72.8340805053711
01-26-2019 16:14:53;72.7862007141113
01-26-2019 17:14:55;72.7408409118652
01-26-2019 18:14:55;72.6879211425781
01-26-2019 19:14:53;72.5392417907715
01-29-2019 15:32:35;32
01-30-2019 01:21:18;72.4837985992432
01-30-2019 01:21:24;70.7
01-30-2019 01:21:26;73.3002784729004
01-30-2019 04:14:40;73.7765598297119
01-30-2019 05:14:40;73.9479190826416
01-30-2019 06:14:38;74.0991184234619
01-30-2019 07:14:40;74.2503211975098
01-30-2019 07:14:42;73.4313213348389
01-30-2019 08:14:40;74.3813606262207
01-30-2019 08:14:40;73.6001605987549
01-30-2019 09:14:40;74.5048400878906
01-30-2019 12:14:40;74.8651985168457
01-30-2019 13:14:40;74.9912014007568
01-30-2019 14:14:40;75.0970409393311
01-30-2019 15:14:40;74.6283195495605
01-30-2019 15:14:40;75.2104404449463
01-30-2019 16:14:40;74.7517990112305
01-30-2019 16:14:40;75.3490398406982
01-30-2019 17:14:38;75.4321994781494
01-30-2019 18:14:38;75.5103191375732
01-30-2019 19:14:38;75.5481189727783
01-30-2019 20:14:38;75.5632389068603
01-30-2019 21:14:38;75.573318862915
01-30-2019 22:14:38;75.558198928833
01-30-2019 23:14:38;75.5481189727783
01-31-2019 00:14:38;75.5304790496826
01-31-2019 01:14:38;75.5077991485596
01-31-2019 04:14:38;75.4649593353272
01-31-2019 05:14:36;75.4397594451904
01-31-2019 05:19:40;70.7
01-31-2019 05:19:44;75.4397594451904
01-31-2019 06:19:16;32
01-31-2019 07:14:35;75.2709201812744
01-31-2019 07:14:38;75.4775592803955
01-31-2019 08:14:35;75.2457202911377
