Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heat Valve
09-11-2018 16:15:02;70
09-11-2018 16:17:02;71
09-11-2018 16:19:02;72
09-11-2018 16:20:06;82
09-11-2018 16:22:06;74
09-11-2018 16:24:06;85
09-11-2018 16:27:02;86
09-11-2018 16:29:02;88
09-11-2018 16:31:02;89
09-11-2018 16:33:02;90
09-11-2018 16:35:02;91
09-11-2018 16:37:02;92
09-11-2018 16:38:04;100
09-11-2018 16:42:04;96
09-11-2018 16:44:04;100
09-12-2018 12:08:34;0
09-12-2018 12:08:40;100
09-12-2018 23:08:32;0
09-12-2018 23:08:38;100
09-16-2018 13:08:18;0
09-16-2018 13:08:24;100
09-18-2018 18:08:10;0
09-18-2018 18:08:14;100
09-19-2018 16:08:10;0
09-19-2018 20:08:10;100
09-22-2018 15:56:02;99
09-22-2018 16:00:02;100
09-22-2018 16:04:02;99
09-22-2018 16:06:02;98
09-22-2018 16:14:02;97
09-22-2018 16:18:02;98
09-22-2018 16:24:02;97
09-22-2018 16:28:02;98
09-22-2018 16:30:02;97
09-22-2018 16:34:02;96
09-22-2018 16:38:02;97
09-22-2018 16:44:02;96
09-22-2018 17:06:02;95
09-22-2018 17:08:02;96
09-22-2018 17:18:02;95
09-22-2018 17:24:02;96
09-22-2018 17:28:02;95
09-22-2018 17:44:02;94
09-22-2018 17:56:02;93
09-22-2018 18:10:02;92
09-22-2018 18:14:02;93
09-22-2018 18:20:02;92
09-22-2018 18:24:02;93
09-22-2018 18:30:02;92
09-22-2018 18:48:02;93
09-22-2018 19:04:02;94
09-22-2018 19:08:02;95
09-22-2018 19:18:02;96
09-22-2018 19:24:02;97
09-22-2018 19:30:02;98
09-22-2018 19:36:02;99
09-22-2018 19:38:02;100
09-27-2018 18:07:40;0
09-28-2018 20:07:34;100
09-29-2018 15:07:32;0
09-29-2018 16:07:32;100
09-29-2018 22:07:30;0
09-29-2018 23:07:30;100
09-30-2018 17:07:28;0
10-01-2018 12:07:24;0
10-01-2018 15:07:24;100
10-16-2018 17:53:02;16
10-16-2018 17:54:02;17
10-16-2018 17:55:02;18
10-16-2018 17:56:02;19
10-16-2018 17:57:02;21
10-16-2018 17:59:02;22
10-16-2018 18:00:02;24
10-16-2018 18:01:02;25
10-16-2018 18:03:02;27
10-16-2018 18:05:02;30
10-16-2018 18:07:02;32
10-16-2018 18:08:02;34
10-16-2018 18:10:02;36
10-16-2018 18:12:02;39
10-16-2018 18:14:02;41
10-16-2018 18:16:02;44
10-16-2018 18:18:02;46
10-16-2018 18:20:02;49
10-16-2018 18:22:02;51
10-16-2018 18:24:02;54
10-16-2018 18:26:02;56
10-16-2018 18:28:02;59
10-16-2018 18:30:02;61
10-16-2018 18:32:02;64
10-16-2018 18:34:02;67
10-16-2018 18:36:02;69
10-16-2018 18:38:02;72
10-16-2018 18:40:02;75
10-16-2018 18:42:02;77
10-16-2018 18:44:02;80
10-16-2018 18:46:02;83
10-16-2018 18:48:02;85
10-16-2018 18:50:02;88
10-16-2018 18:52:02;90
10-16-2018 18:54:02;93
10-16-2018 18:56:02;96
10-16-2018 18:58:02;99
10-16-2018 19:00:02;100
10-16-2018 22:51:20;12
10-16-2018 22:51:22;0
10-16-2018 22:51:23;12
10-16-2018 22:52:02;13
10-22-2018 14:18:29;31
10-22-2018 14:19:01;34
10-22-2018 14:19:13;36
10-22-2018 14:19:47;100
10-22-2018 14:24:55;53
10-22-2018 14:24:59;100
10-22-2018 14:27:49;62
10-22-2018 14:28:01;67
10-22-2018 14:28:03;100
10-22-2018 14:31:31;76
10-22-2018 14:31:39;100
10-22-2018 14:34:09;0
10-22-2018 14:37:02;100
10-23-2018 11:49:21;0
10-26-2018 13:26:27;0
10-26-2018 13:26:31;100
10-26-2018 15:42:35;100
10-30-2018 09:43:53;0
10-30-2018 12:16:38;100
10-30-2018 12:23:59;0
11-01-2018 07:13:01;1
11-01-2018 07:18:01;2
11-01-2018 07:23:01;3
11-01-2018 07:31:01;4
11-01-2018 07:38:01;5
11-01-2018 07:42:01;6
11-01-2018 07:50:01;7
11-01-2018 07:55:01;8
11-01-2018 08:01:01;9
11-01-2018 08:08:01;10
11-01-2018 08:12:01;11
11-01-2018 08:26:01;12
11-01-2018 08:36:01;13
11-01-2018 08:43:01;14
11-01-2018 08:49:01;15
11-01-2018 08:53:01;16
11-01-2018 08:57:01;17
11-01-2018 09:03:01;18
11-01-2018 09:07:01;19
11-01-2018 09:17:27;18
11-01-2018 09:20:01;17
11-01-2018 09:21:23;16
11-01-2018 09:22:53;15
11-01-2018 09:25:01;14
11-01-2018 09:25:57;13
11-01-2018 09:29:01;12
11-01-2018 09:31:01;11
11-01-2018 09:36:59;12
11-01-2018 09:39:01;11
11-01-2018 09:42:01;12
11-01-2018 09:44:01;11
11-01-2018 09:48:01;12
11-01-2018 09:50:01;11
11-01-2018 10:58:01;11
11-01-2018 11:07:27;9
11-01-2018 11:07:37;10
11-01-2018 11:18:01;9
11-01-2018 11:24:01;8
11-01-2018 11:32:01;7
11-01-2018 11:38:01;6
11-01-2018 11:45:01;5
11-01-2018 11:50:01;4
11-01-2018 11:58:01;3
11-01-2018 12:05:01;2
11-01-2018 12:11:01;1
11-01-2018 12:18:01;0
11-01-2018 15:42:01;12
11-01-2018 15:44:01;11
11-01-2018 15:48:01;12
11-01-2018 18:05:23;100
11-02-2018 20:05:19;0
11-05-2018 03:21:01;5
11-05-2018 03:31:01;6
11-05-2018 03:41:01;7
11-05-2018 03:46:09;8
11-05-2018 03:48:09;7
11-05-2018 03:51:01;8
11-05-2018 03:52:09;9
11-05-2018 03:57:01;10
11-05-2018 03:58:07;9
11-05-2018 04:00:07;10
11-05-2018 04:06:07;11
11-05-2018 04:09:01;12
11-05-2018 04:15:01;13
11-05-2018 04:19:01;14
11-05-2018 04:25:01;15
11-05-2018 04:29:01;16
11-05-2018 04:35:01;17
11-05-2018 04:39:01;18
11-05-2018 04:45:01;19
11-05-2018 04:49:01;20
11-05-2018 04:55:01;22
11-05-2018 04:57:01;21
11-05-2018 04:59:01;22
11-05-2018 05:01:01;23
11-05-2018 05:03:01;24
11-05-2018 05:05:01;25
11-05-2018 05:10:01;26
11-05-2018 05:14:01;27
11-05-2018 05:16:01;28
11-05-2018 05:20:01;29
11-05-2018 05:24:01;30
11-05-2018 05:26:01;31
11-05-2018 05:30:01;32
11-05-2018 05:34:01;33
11-05-2018 05:36:01;34
11-05-2018 05:40:01;35
11-05-2018 05:44:01;36
11-05-2018 05:46:01;37
11-05-2018 05:48:01;38
11-05-2018 05:52:01;39
11-05-2018 05:56:01;41
11-05-2018 05:58:01;42
11-05-2018 06:00:01;43
11-05-2018 06:04:01;44
11-05-2018 06:05:05;49
11-05-2018 06:08:01;52
11-05-2018 06:10:01;54
11-05-2018 06:12:01;56
11-05-2018 06:14:01;58
11-05-2018 06:16:01;59
11-05-2018 06:18:01;61
11-05-2018 06:20:01;63
11-05-2018 06:22:01;65
11-05-2018 06:24:01;67
11-05-2018 06:26:01;69
11-05-2018 06:28:01;70
11-05-2018 06:30:01;72
11-05-2018 06:32:01;74
11-05-2018 06:34:01;76
11-05-2018 06:36:01;78
11-05-2018 06:38:01;80
11-05-2018 06:40:01;82
11-05-2018 06:42:01;84
11-05-2018 06:44:01;86
11-05-2018 06:46:01;88
11-05-2018 06:48:01;90
11-05-2018 06:50:01;92
11-05-2018 06:52:01;93
11-05-2018 06:54:01;95
11-05-2018 06:56:01;97
11-05-2018 06:58:01;99
11-05-2018 07:00:01;100
11-05-2018 07:40:15;1
11-05-2018 07:42:15;0
11-05-2018 07:44:15;1
11-05-2018 07:46:15;0
11-05-2018 07:48:15;1
11-05-2018 07:49:01;2
11-05-2018 07:50:15;1
11-05-2018 07:52:15;2
11-05-2018 08:01:01;3
11-05-2018 08:11:01;4
11-09-2018 14:04:49;95
11-09-2018 14:07:01;94
11-09-2018 14:09:01;92
11-09-2018 14:13:01;90
11-09-2018 14:17:01;88
11-09-2018 14:21:01;86
11-09-2018 14:25:01;84
11-09-2018 14:29:01;82
11-09-2018 14:33:01;80
11-09-2018 14:37:01;78
11-09-2018 14:41:01;75
11-09-2018 14:43:01;74
11-09-2018 14:45:01;73
11-09-2018 14:47:01;72
11-09-2018 14:51:01;70
11-09-2018 14:53:01;68
11-09-2018 14:55:01;67
11-09-2018 14:57:01;66
11-09-2018 14:59:01;65
11-09-2018 15:01:01;64
11-09-2018 15:03:01;62
11-09-2018 15:05:01;61
11-09-2018 15:07:01;60
11-09-2018 15:09:01;59
11-09-2018 15:09:19;100
11-12-2018 14:58:31;0
11-13-2018 10:41:39;100
11-15-2018 10:50:59;0
11-16-2018 20:52:45;1
11-16-2018 20:56:45;0
11-16-2018 21:02:45;1
11-16-2018 21:03:01;2
11-16-2018 21:06:45;1
11-16-2018 21:16:43;2
11-16-2018 21:18:43;1
11-16-2018 21:20:43;2
11-16-2018 21:25:01;3
11-16-2018 21:26:43;2
11-16-2018 21:32:41;3
11-16-2018 21:34:41;2
11-16-2018 21:40:41;3
11-16-2018 21:48:01;4
11-16-2018 21:58:01;5
11-16-2018 22:08:01;6
11-16-2018 22:18:01;7
11-16-2018 22:28:01;8
11-16-2018 22:38:01;9
11-16-2018 22:48:01;10
11-16-2018 22:58:01;11
11-16-2018 23:08:01;12
11-16-2018 23:18:01;13
11-16-2018 23:28:01;14
11-16-2018 23:38:01;15
11-16-2018 23:48:01;16
11-16-2018 23:58:01;17
11-17-2018 00:08:01;18
11-17-2018 00:18:01;19
11-17-2018 00:20:23;20
11-17-2018 00:22:23;19
11-17-2018 00:25:01;20
11-17-2018 00:28:23;21
11-17-2018 00:36:21;22
11-17-2018 00:39:01;23
11-17-2018 00:43:01;22
11-17-2018 00:45:01;24
11-17-2018 00:47:01;23
11-17-2018 00:49:01;24
11-17-2018 00:53:01;25
11-17-2018 00:57:01;26
11-17-2018 01:03:01;27
11-17-2018 01:07:01;28
11-17-2018 01:13:01;29
11-17-2018 01:17:01;30
11-17-2018 01:23:01;31
11-17-2018 01:27:01;32
11-17-2018 01:33:01;33
11-17-2018 01:37:01;34
11-17-2018 01:43:01;35
11-17-2018 01:47:01;36
11-17-2018 01:53:01;37
