Time;Sun screening, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position Sunscreening
08-30-2018 08:31:47;46
08-30-2018 08:31:48;51
08-30-2018 08:31:49;56
08-30-2018 08:31:50;62
08-30-2018 08:31:51;67
08-30-2018 08:31:52;73
08-30-2018 08:31:53;78
08-30-2018 08:31:54;83
08-30-2018 08:31:55;89
08-30-2018 08:31:56;94
08-30-2018 08:31:57;100
08-30-2018 09:07:58;98
08-30-2018 09:07:59;93
08-30-2018 09:08:00;87
08-30-2018 09:08:01;82
08-30-2018 09:08:03;76
08-30-2018 09:08:04;70
08-30-2018 09:08:05;65
08-30-2018 09:08:06;60
08-30-2018 09:08:07;54
08-30-2018 09:08:08;49
08-30-2018 09:08:09;44
08-30-2018 09:08:10;38
08-30-2018 09:08:11;33
08-30-2018 09:08:12;28
08-30-2018 09:08:13;23
08-30-2018 09:08:14;17
08-30-2018 09:08:15;13
08-30-2018 09:08:16;7
08-30-2018 09:08:17;2
08-30-2018 09:08:18;0
08-30-2018 10:26:01;2
08-30-2018 10:26:02;7
08-30-2018 10:26:03;13
08-30-2018 10:26:04;19
08-30-2018 10:26:05;24
08-30-2018 10:26:06;30
08-30-2018 10:26:07;35
08-30-2018 10:26:08;41
08-30-2018 10:26:09;46
08-30-2018 10:26:10;51
08-30-2018 10:26:11;57
08-30-2018 10:26:12;63
08-30-2018 10:26:13;68
08-30-2018 10:26:14;73
08-30-2018 10:26:15;79
08-30-2018 10:26:16;84
08-30-2018 10:26:17;90
08-30-2018 10:26:18;100
08-30-2018 14:33:45;96
08-30-2018 14:33:47;90
08-30-2018 14:33:52;61
08-30-2018 14:33:53;55
08-30-2018 14:33:54;50
08-30-2018 14:33:55;44
08-30-2018 14:33:56;39
08-30-2018 14:33:57;33
08-30-2018 14:33:58;28
08-30-2018 14:33:59;23
08-30-2018 14:34:00;17
08-30-2018 14:34:02;12
08-30-2018 14:34:03;7
08-30-2018 14:34:05;0
08-30-2018 14:41:46;3
08-30-2018 14:41:47;9
08-30-2018 14:41:48;14
08-30-2018 14:41:49;20
08-30-2018 14:41:50;26
08-30-2018 14:41:51;31
08-30-2018 14:41:52;37
08-30-2018 14:41:53;43
