Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heating status
09-01-2018 00:22:04;4
09-01-2018 00:23:05;36
09-01-2018 00:24:06;4
09-01-2018 00:25:07;36
09-01-2018 00:27:07;4
09-01-2018 01:28:05;36
09-01-2018 01:30:05;4
09-01-2018 01:32:05;36
09-01-2018 03:09:02;4
09-01-2018 03:35:05;36
09-01-2018 06:53:05;4
09-01-2018 06:54:05;36
09-01-2018 06:55:04;4
09-01-2018 07:05:04;36
09-01-2018 07:06:01;34
09-01-2018 07:06:03;2
09-01-2018 07:08:00;4
09-02-2018 05:00:07;36
09-02-2018 06:56:03;4
09-02-2018 13:13:00;1
09-02-2018 13:18:00;4
09-03-2018 06:01:00;1
09-03-2018 22:01:00;4
09-04-2018 06:01:00;1
09-04-2018 22:01:00;4
09-05-2018 03:24:32;34
09-05-2018 03:24:36;2
09-05-2018 03:25:00;4
09-05-2018 06:01:00;1
09-05-2018 22:01:00;4
09-06-2018 06:00:11;1
09-06-2018 22:01:00;4
09-07-2018 03:14:28;2
09-07-2018 03:15:00;4
09-07-2018 04:09:27;4
09-07-2018 06:01:00;1
09-07-2018 22:01:00;4
09-09-2018 17:50:00;1
09-09-2018 17:55:00;4
09-10-2018 03:01:50;4
09-10-2018 03:21:56;4
09-10-2018 03:40:12;4
09-10-2018 06:01:00;1
09-10-2018 22:01:00;4
09-11-2018 06:01:00;1
09-11-2018 22:01:00;4
09-12-2018 06:01:00;1
09-12-2018 22:01:00;4
09-13-2018 06:01:00;1
09-13-2018 22:01:00;4
09-14-2018 06:01:00;1
09-14-2018 22:01:00;4
09-17-2018 06:01:00;1
09-17-2018 22:01:00;4
09-18-2018 06:01:00;1
09-18-2018 22:01:00;4
09-19-2018 06:01:00;1
09-19-2018 22:01:00;4
09-20-2018 02:33:00;4
09-20-2018 06:01:00;1
09-20-2018 07:02:00;1
09-20-2018 22:01:00;4
09-21-2018 03:20:00;4
09-21-2018 06:01:00;1
09-21-2018 07:02:00;1
09-21-2018 22:01:00;4
09-22-2018 14:39:00;1
09-22-2018 14:45:00;4
09-22-2018 14:48:00;1
09-22-2018 14:53:00;4
09-22-2018 14:58:00;1
09-22-2018 15:07:00;4
09-24-2018 03:23:00;4
09-24-2018 06:01:00;1
09-24-2018 07:02:00;1
09-24-2018 22:01:00;4
09-25-2018 02:57:00;4
09-25-2018 06:01:00;1
09-25-2018 07:02:00;1
09-25-2018 22:01:00;4
09-26-2018 03:44:00;4
09-26-2018 06:01:00;1
09-26-2018 07:02:00;1
09-26-2018 22:01:00;4
09-27-2018 02:56:00;4
09-27-2018 06:01:00;1
09-27-2018 07:02:00;1
09-27-2018 22:01:00;4
09-28-2018 04:09:00;4
09-28-2018 06:01:00;1
09-28-2018 07:02:00;1
09-28-2018 22:01:00;4
10-01-2018 02:11:00;4
10-01-2018 06:01:00;1
10-01-2018 06:01:00;1
10-16-2018 17:54:00;1
10-16-2018 22:01:00;4
10-16-2018 22:51:19;2
10-16-2018 22:52:00;4
10-17-2018 02:40:00;4
10-17-2018 06:01:00;1
10-17-2018 07:02:00;1
10-17-2018 13:06:19;33
10-18-2018 00:01:00;36
10-18-2018 03:24:00;36
10-18-2018 06:01:00;33
10-18-2018 07:02:00;33
10-22-2018 14:18:25;1
10-22-2018 14:18:27;33
10-22-2018 15:18:12;1
10-22-2018 15:18:24;33
10-23-2018 00:01:00;36
10-23-2018 06:01:00;33
10-24-2018 00:01:00;36
10-24-2018 06:01:00;33
10-24-2018 20:25:00;33
10-25-2018 00:00:36;36
10-25-2018 00:01:00;36
10-25-2018 02:39:00;36
10-25-2018 06:01:00;33
10-25-2018 07:02:00;33
10-26-2018 00:01:00;36
10-26-2018 04:47:00;36
10-26-2018 06:00:57;33
10-26-2018 07:02:00;33
10-26-2018 15:42:33;33
10-27-2018 00:01:00;36
10-27-2018 07:02:00;34
10-27-2018 09:05:40;2
10-27-2018 09:07:00;4
10-29-2018 02:32:00;4
10-29-2018 06:01:00;1
10-29-2018 07:02:00;1
10-29-2018 10:05:30;33
10-30-2018 00:01:00;36
10-30-2018 04:24:00;36
10-30-2018 06:01:00;33
10-30-2018 07:02:00;33
10-31-2018 00:01:00;36
10-31-2018 03:14:00;4
10-31-2018 06:01:00;1
10-31-2018 07:02:00;33
10-31-2018 08:05:24;1
10-31-2018 08:50:20;33
10-31-2018 08:50:23;1
10-31-2018 22:01:00;4
11-01-2018 02:36:00;4
11-01-2018 06:01:00;1
11-01-2018 07:02:00;1
11-01-2018 22:01:00;4
11-02-2018 04:13:00;4
11-02-2018 06:01:00;1
11-02-2018 07:02:00;1
11-02-2018 22:01:00;4
11-03-2018 13:05:12;36
11-03-2018 13:07:00;34
11-03-2018 16:01:00;36
11-04-2018 02:17:00;36
11-04-2018 07:01:00;34
11-04-2018 07:02:00;34
11-04-2018 16:01:00;36
11-05-2018 03:17:00;36
11-05-2018 06:01:00;33
11-05-2018 06:05:04;1
11-05-2018 07:02:00;33
11-05-2018 22:01:00;4
11-06-2018 04:02:00;4
11-06-2018 06:01:00;1
11-06-2018 07:02:00;1
11-06-2018 10:40:20;33
11-06-2018 10:50:00;1
11-06-2018 22:01:00;4
11-07-2018 03:22:00;4
11-07-2018 06:01:00;1
11-07-2018 07:02:00;1
11-07-2018 17:04:54;33
11-08-2018 00:01:00;36
11-08-2018 04:12:00;36
11-08-2018 06:01:00;33
11-08-2018 07:02:00;33
11-09-2018 00:00:29;36
11-09-2018 03:52:00;36
11-09-2018 06:01:00;33
11-09-2018 07:02:00;33
11-09-2018 09:04:48;1
11-09-2018 14:04:48;33
11-10-2018 00:01:00;36
