Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Slap sensor celsius
06-27-2018 16:09:03;26.3999996185303
06-28-2018 12:34:57;26.6000003814697
06-28-2018 16:32:32;26.8999996185303
06-28-2018 20:06:10;27.1000003814697
06-29-2018 11:24:33;27.3999996185303
06-29-2018 12:02:29;27.6000003814697
06-29-2018 12:52:24;27.8999996185303
06-29-2018 13:26:20;28.1000003814697
06-29-2018 14:06:16;28.3999996185303
06-29-2018 14:38:13;28.6000003814697
06-29-2018 15:36:07;28.8999996185303
06-29-2018 16:22:02;29.1000003814697
06-29-2018 17:13:56;29.3999996185303
06-29-2018 18:13:50;29.6000003814697
06-30-2018 04:40:44;29.3999996185303
06-30-2018 10:46:06;29.6000003814697
06-30-2018 13:05:51;29.8999996185303
06-30-2018 14:15:44;30.1000003814697
06-30-2018 16:05:32;30.3999996185303
06-30-2018 17:01:27;30.6000003814697
06-30-2018 18:37:16;30.8999996185303
06-30-2018 20:13:06;31.1000003814697
07-01-2018 11:09:35;31.3999996185303
07-01-2018 12:23:27;31.6000003814697
07-01-2018 13:43:19;31.8999996185303
07-01-2018 15:17:09;32.2000007629395
07-01-2018 17:00:58;32.4000015258789
07-02-2018 03:01:55;32.2000007629395
07-02-2018 06:33:33;32
07-02-2018 09:27:14;31.7999992370605
07-02-2018 11:09:04;31.5
07-02-2018 13:32:49;31.2999992370605
07-03-2018 03:39:20;31
07-03-2018 05:37:07;30.7999992370605
07-03-2018 11:10:32;31
07-03-2018 11:38:29;31.2000007629395
07-03-2018 12:22:25;31.5
07-03-2018 12:52:22;31.7000007629395
07-03-2018 13:34:17;32
07-03-2018 14:02:14;32.2000007629395
07-03-2018 14:38:10;32.4000015258789
07-03-2018 15:36:04;32.7000007629395
07-03-2018 16:37:58;32.9000015258789
07-04-2018 04:32:46;32.7000007629395
07-04-2018 06:50:31;32.5
07-04-2018 13:01:52;32.7000007629395
07-04-2018 14:59:40;32.9000015258789
07-04-2018 17:13:26;33.2000007629395
07-04-2018 18:37:17;33.4000015258789
07-04-2018 21:56:56;33.2000007629395
07-05-2018 02:42:26;33
07-05-2018 06:16:04;32.7999992370605
07-05-2018 10:09:39;32.5999984741211
07-05-2018 12:17:26;32.7999992370605
07-05-2018 13:13:20;33
07-05-2018 14:07:14;33.2000007629395
07-05-2018 15:43:04;33.4000015258789
