Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Temperature set point
09-18-2018 06:00:01;71.6
09-18-2018 22:00:01;64.4
09-19-2018 02:00:18;64.4
09-19-2018 06:00:01;71.6
09-19-2018 07:00:02;71.6
09-26-2018 11:20:26;71.4329597473145
09-26-2018 11:28:07;71.6
09-27-2018 20:39:33;71.5020809173584
09-27-2018 20:49:34;71.5942390441895
09-27-2018 20:59:35;71.6
09-28-2018 11:52:02;71.5942390441895
09-28-2018 12:42:04;71.4502391815186
09-28-2018 12:47:04;71.3580810546875
09-28-2018 12:52:04;71.1968017578125
09-28-2018 15:29:17;71.6
10-01-2018 12:46:20;71.5193603515625
10-01-2018 12:46:47;71.0700813293457
10-16-2018 17:53:01;70.2060787200928
10-16-2018 17:54:00;70.3673614501953
10-16-2018 17:59:00;70.5113613128662
10-16-2018 18:04:00;70.6035194396973
10-16-2018 18:19:01;70.7302398681641
10-16-2018 18:29:01;70.8569602966309
10-16-2018 18:39:01;71.0009601593018
10-16-2018 18:59:02;71.1449600219727
10-16-2018 19:04:02;71.3580810546875
10-16-2018 19:09:02;71.5020809173584
10-16-2018 19:29:03;71.6
10-16-2018 22:51:16;32
10-16-2018 22:51:20;71.6
10-17-2018 13:06:20;69.8
10-22-2018 14:18:24;32
10-22-2018 14:18:26;71.6
10-22-2018 14:18:28;69.8
10-22-2018 15:18:13;71.6
10-22-2018 15:18:25;69.8
10-26-2018 15:42:26;32
10-26-2018 15:42:34;69.8
10-27-2018 09:05:41;71.6
10-29-2018 10:05:31;69.8
10-31-2018 08:05:25;71.6
10-31-2018 08:50:21;69.8
10-31-2018 08:50:24;71.6
10-31-2018 09:00:55;71.1795188903809
10-31-2018 09:01:50;70.7302398681641
10-31-2018 09:20:15;70.9260814666748
10-31-2018 09:30:16;71.0527984619141
10-31-2018 09:56:51;71.1449600219727
10-31-2018 10:06:51;71.2716804504394
10-31-2018 10:11:51;70.9664012908936
10-31-2018 10:20:21;70.2636814117432
10-31-2018 15:25:34;71.6
10-31-2018 15:28:38;69.8
10-31-2018 15:55:37;69.8489612579346
10-31-2018 16:05:38;70.0620788574219
10-31-2018 16:15:39;70.3903984069824
10-31-2018 16:25:40;70.5862400054932
10-31-2018 16:35:41;70.8224014282227
10-31-2018 16:45:42;70.71296043396
10-31-2018 17:05:44;70.8224014282227
10-31-2018 17:15:45;71.0182395935059
10-31-2018 17:25:46;71.2313606262207
10-31-2018 17:35:47;71.6
11-01-2018 09:22:53;71.4156803131104
11-01-2018 09:25:46;70.9664012908936
11-01-2018 09:35:46;70.5113613128662
11-01-2018 09:40:46;70.7647987365723
11-01-2018 09:45:46;70.8569602966309
11-01-2018 09:50:47;71.0182395935059
11-01-2018 09:55:47;71.1449600219727
11-01-2018 10:00:47;71.2716804504394
11-01-2018 10:05:47;71.4156803131104
11-01-2018 10:15:48;71.5596801757813
11-01-2018 10:25:48;71.6
11-01-2018 12:25:52;71.5596801757813
11-01-2018 12:35:53;71.4329597473145
11-01-2018 14:00:56;71.3408016204834
11-01-2018 14:15:56;71.4502391815186
11-01-2018 14:45:57;71.2716804504394
11-01-2018 15:05:58;71.1795188903809
11-01-2018 15:15:58;71.0873607635498
11-01-2018 16:06:00;70.9433609008789
11-01-2018 19:06:06;70.6783981323242
11-01-2018 19:16:12;70.8224014282227
11-01-2018 19:21:07;70.9260814666748
11-01-2018 19:46:07;71.0527984619141
11-01-2018 19:51:08;71.1449600219727
11-01-2018 20:11:08;71.3235187530518
11-01-2018 20:21:09;71.4675186157227
11-01-2018 20:36:09;71.5596801757813
11-01-2018 20:46:09;71.6
11-03-2018 13:05:13;69.8
11-05-2018 06:05:05;71.6
11-06-2018 10:40:21;69.8
11-06-2018 10:50:01;71.6
11-07-2018 12:30:27;71.5769596099854
11-07-2018 12:40:27;71.4675186157227
11-07-2018 12:50:27;71.3580810546875
11-07-2018 13:00:27;71.4848014831543
11-07-2018 13:25:28;71.3408016204834
11-07-2018 13:55:29;71.1968017578125
11-07-2018 14:35:30;71.0700813293457
11-07-2018 14:55:31;70.9260814666748
11-07-2018 15:10:31;70.7820816040039
11-07-2018 15:15:31;70.6783981323242
11-07-2018 15:25:31;70.551681137085
11-07-2018 15:30:32;70.4595195770264
11-07-2018 15:55:33;70.5689605712891
11-07-2018 16:05:33;70.7820816040039
11-07-2018 16:10:33;70.9087985992432
11-07-2018 16:35:34;70.7647987365723
11-07-2018 16:45:34;70.6553611755371
11-07-2018 16:50:34;70.7647987365723
11-07-2018 16:55:34;70.9433609008789
11-07-2018 17:00:34;71.0527984619141
11-07-2018 17:04:55;69.8
11-09-2018 09:04:49;71.6
11-09-2018 09:10:14;71.4675186157227
11-09-2018 09:20:14;71.6
11-09-2018 10:35:16;71.2889598846436
11-09-2018 10:40:16;71.0700813293457
11-09-2018 11:05:17;71.1795188903809
11-09-2018 11:20:18;71.03551902771
11-09-2018 11:25:18;70.6553611755371
11-09-2018 11:30:18;70.3500785827637
11-09-2018 12:05:19;70.4940784454346
11-09-2018 12:35:20;70.6035194396973
11-09-2018 12:50:20;70.6956809997559
11-09-2018 13:10:21;70.8396808624268
11-09-2018 13:35:22;70.9664012908936
11-09-2018 13:55:22;71.0700813293457
11-09-2018 14:04:49;69.8
11-30-2018 11:31:56;68.9
11-30-2018 15:11:09;73.4
11-30-2018 15:11:53;69.8
11-30-2018 15:32:23;73.4
11-30-2018 17:42:26;71.6
11-30-2018 17:42:31;69.8
12-02-2018 08:03:20;71.6
12-03-2018 01:03:41;69.8
12-03-2018 11:45:09;69.8
