Time;Weather data, Rain
06-27-2018 22:48:37;-1
06-28-2018 00:29:19;0
06-28-2018 00:43:18;-1
06-28-2018 01:15:17;0
06-28-2018 01:59:44;-1
06-28-2018 02:11:50;0
06-28-2018 02:15:31;-1
06-28-2018 02:55:13;0
06-28-2018 03:04:24;-1
06-28-2018 04:10:50;0
06-28-2018 07:21:40;-1
06-28-2018 07:41:49;0
06-28-2018 07:49:04;-1
06-28-2018 11:23:22;0
06-28-2018 11:49:57;-1
06-28-2018 12:50:25;0
06-28-2018 13:12:19;-1
06-28-2018 14:07:57;0
06-28-2018 14:13:31;-1
06-28-2018 14:50:22;0
06-28-2018 15:43:03;-1
06-28-2018 16:02:35;0
06-28-2018 18:41:41;-1
06-28-2018 19:07:39;0
06-28-2018 19:15:39;-1
06-28-2018 19:29:13;0
07-03-2018 20:06:51;-1
07-03-2018 20:29:39;0
07-03-2018 20:30:23;-1
07-03-2018 20:46:17;0
07-03-2018 22:37:51;-1
07-03-2018 23:06:21;0
07-06-2018 11:26:14;-1
07-06-2018 13:14:43;0
07-10-2018 19:37:37;-1
07-10-2018 19:51:48;0
07-10-2018 20:34:49;-1
07-10-2018 20:44:53;0
07-10-2018 20:54:37;-1
07-10-2018 21:04:48;0
07-11-2018 00:36:46;-1
07-11-2018 00:51:44;0
07-11-2018 00:55:27;-1
07-11-2018 01:22:05;0
07-14-2018 22:04:01;-1
07-14-2018 22:43:30;0
07-14-2018 22:46:00;-1
07-14-2018 23:32:13;0
07-14-2018 23:39:21;-1
07-15-2018 00:17:20;0
07-15-2018 03:47:51;-1
07-15-2018 04:15:08;0
07-17-2018 14:06:48;-1
07-17-2018 20:00:24;0
07-17-2018 20:38:41;-1
07-17-2018 20:49:14;0
07-17-2018 21:29:08;-1
07-17-2018 21:47:14;0
07-17-2018 21:55:36;-1
07-17-2018 23:23:08;0
07-18-2018 00:51:04;-1
07-18-2018 01:21:12;0
07-18-2018 02:56:42;-1
07-18-2018 03:27:05;0
07-22-2018 03:09:33;-1
07-22-2018 03:19:49;0
07-22-2018 04:59:12;-1
07-22-2018 05:39:21;0
07-22-2018 06:43:16;-1
07-22-2018 07:48:45;0
07-22-2018 08:44:47;-1
07-22-2018 09:32:01;0
07-22-2018 09:35:29;-1
07-22-2018 12:24:53;0
07-22-2018 12:30:25;-1
07-22-2018 12:43:48;0
07-22-2018 13:30:54;-1
07-22-2018 13:42:25;0
